Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Death from serious treatable complications after surgery,Footnote - Death from serious treatable complications after surgery,Collapsed lung due to medical treatment,Footnote - Collapsed lung due to medical treatment,Serious blood clots after surgery,Footnote - Serious blood clots after surgery,A wound that splits open after surgery,Footnote - A wound that splits open after surgery,Accidental cuts and tears from medical treatment,Footnote - Accidental cuts and tears from medical treatment,Serious Complications,Footnote - Serious Complications,Number of Patients - Death from serious treatable complications after surgery,Rate - Death from serious treatable complications after surgery,Lower Estimate - Death from serious treatable complications after surgery,Higher Estimate - Death from serious treatable complications after surgery,Number of Patients - Collapsed lung due to medical treatment,Rate - Collapsed lung due to medical treatment,Lower Estimate - Collapsed lung due to medical treatment,Higher Estimate - Collapsed lung due to medical treatment,Number of Patients - Serious blood clots after surgery,Rate - Serious blood clots after surgery,Lower Estimate - Serious blood clots after surgery,Higher Estimate - Serious blood clots after surgery,Number of Patients - A wound that splits open after surgery,Rate - A wound that splits open after surgery,Lower Estimate - A wound that splits open after surgery,Higher Estimate - A wound that splits open after surgery,Number of Patients - Accidental cuts and tears from medical treatment,Rate - Accidental cuts and tears from medical treatment,Lower Estimate - Accidental cuts and tears from medical treatment,Higher Estimate - Accidental cuts and tears from medical treatment,Number of Patients - Serious Complications,Rate - Serious Complications,Lower Estimate - Serious Complications,Higher Estimate - Serious Complications
490037,RIVERSIDE SHORE MEMORIAL HOSPITAL,9507 HOSPITAL AVENUE,,,NASSAWADOX,VA,23413,NORTHAMPTON,7574148000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,16,Not Available,Not Available,Not Available,3108,0.26,0.00,0.63,219,5.17,0.94,9.40,60,0.75,0.00,2.81,3245,1.77,0.00,3.57,Not Available,Not Available,Not Available,Not Available
270017,ST JAMES HEALTHCARE,400 S CLARK ST,,,BUTTE,MT,59701,SILVER BOW,4067232500,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,31,92.79,44.24,141.34,3025,0.33,0.00,0.70,853,2.93,0.00,6.11,110,1.54,0.00,3.46,3081,2.24,0.69,3.79,Not Available,Not Available,Not Available,Not Available
140197,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,,,CHICAGO,IL,60640,COOK,7732719040,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,17,Not Available,Not Available,Not Available,4384,0.61,0.24,0.98,184,3.18,0.00,7.43,38,0.83,0.00,2.99,4429,1.73,0.00,3.69,Not Available,Not Available,Not Available,Not Available
511301,WEBSTER COUNTY MEMORIAL HOSPITAL,P O BOX 312 (MILLER MOUNTAIN DRIVE),,,WEBSTER SPRINGS,WV,26288,WEBSTER,3048475682,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
501310,NEWPORT COMMUNITY HOSPITAL, 714 WEST PINE STREET,,,NEWPORT,WA,99156,PEND OREILLE,5094472441,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,,,AMSTERDAM,NY,12010,MONTGOMERY,5188421900,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,15,Not Available,Not Available,Not Available,4578,0.21,0.00,0.56,581,2.44,0.00,5.67,86,0.69,0.00,2.67,4761,1.55,0.00,3.10,Not Available,Not Available,Not Available,Not Available
390071,LOCK HAVEN HOSPITAL,24 CREE DRIVE,,,LOCK HAVEN,PA,17745,CLINTON,5708935000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,11,Not Available,Not Available,Not Available,1207,0.43,0.00,0.86,98,4.08,0.00,8.90,29,0.86,0.00,3.06,1237,1.56,0.00,3.66,Not Available,Not Available,Not Available,Not Available
261327,RAY COUNTY MEMORIAL HOSPITAL,904 WOLLARD BOULEVARD,,,RICHMOND,MO,64085,RAY,8164705432,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
061303,EAST MORGAN COUNTY HOSPITAL DISTRICT,2400 W EDISON ST,,,BRUSH,CO,80723,MORGAN,9708426200,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
460005,OGDEN REGIONAL MEDICAL CENTER,5475 SOUTH 500 EAST,,,OGDEN,UT,84405,WEBER,8014792111,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,53,140.60,96.54,184.66,2512,0.35,0.00,0.72,989,4.17,1.15,7.19,74,0.75,0.00,2.81,2747,1.43,0.00,2.92,Not Available,Not Available,Not Available,Not Available
451350,PLAINS MEMORIAL HOSPITAL,310 WEST HALSELL STREET,,,DIMMITT,TX,79027,CASTRO,8066472191,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
371314,PHYSICIANS' HOSPITAL IN ANADARKO,1002 EAST CENTRAL BOULEVARD,,,ANADARKO,OK,73005,CADDO,4052472551,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
450839,SHELBY REGIONAL MEDICAL CENTER,602 HURST STREET,,,CENTER                        ,TX,75935,SHELBY,9365982781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390130,MINERS MEDICAL CENTER,290 HAIDA AVENUE,,,HASTINGS,PA,16646,CAMBRIA,8142473100,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,7,Not Available,Not Available,Not Available,937,0.31,0.00,0.72,80,4.11,0.00,8.95,11,Not Applicable,Not Applicable,Not Applicable,961,2.21,0.00,4.42,Not Available,Not Available,Not Available,Not Available
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,,,YONKERS,NY,10701,WESTCHESTER,9143787000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,16,Not Available,Not Available,Not Available,5377,0.27,0.00,0.60,625,4.11,0.31,7.91,69,0.79,0.00,2.91,5519,1.18,0.00,2.81,Not Available,Not Available,Not Available,Not Available
310069,SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL,501 WEST FRONT STREET,,,ELMER,NJ,08318,SALEM,8563631000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,21,Not Available,Not Available,Not Available,3370,0.42,0.05,0.79,738,4.18,0.67,7.69,93,2.65,0.63,4.67,3591,2.41,0.80,4.02,Not Available,Not Available,Not Available,Not Available
100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,,,PLANTATION,FL,33317,BROWARD,9545875010,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,5,Not Available,Not Available,Not Available,1619,0.47,0.08,0.86,166,4.91,0.28,9.54,33,0.87,0.00,3.08,1661,2.17,0.17,4.17,Not Available,Not Available,Not Available,Not Available
521344,BOSCOBEL AREA HEALTH CARE,205 PARKER ST,,,BOSCOBEL,WI,53805,GRANT,6083754112,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
070040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,,,WEST HARTFORD,CT,06117,HARTFORD,8605233800,Not Available,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Not Available,Not Available,Not Available,Not Available,339,0.34,0.00,0.77,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,354,1.99,0.00,4.36,Not Available,Not Available,Not Available,Not Available
190263,HEART HOSPITAL OF LAFAYETTE,1105 KALISTE SALOOM ROAD,,,LAFAYETTE,LA,70508,LAFAYETTE,3375211000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,38,91.83,43.50,140.16,2008,0.42,0.09,0.75,1316,3.20,0.00,6.57,20,Not Applicable,Not Applicable,Not Applicable,2508,1.53,0.16,2.90,Not Available,Not Available,Not Available,Not Available
290008,NORTHEASTERN NEVADA REGIONAL HOSPITAL,2001 ERRECART BLVD,,,ELKO,NV,89801,ELKO,7757385151,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,13,Not Available,Not Available,Not Available,1401,0.30,0.00,0.71,253,3.46,0.00,7.91,43,0.80,0.00,2.92,1449,2.24,0.22,4.26,Not Available,Not Available,Not Available,Not Available
220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,,,BOSTON,MA,02118,SUFFOLK,6176388000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,Worse than U.S. National Rate,,187,129.09,97.30,160.88,15048,0.50,0.25,0.75,4136,7.87,5.99,9.75,482,0.87,0.00,2.32,15743,3.40,2.60,4.20,Not Available,Not Available,Not Available,Not Available
190040,SLIDELL MEMORIAL HOSPITAL,1001 GAUSE BLVD,,,SLIDELL,LA,70458,SAINT TAMMANY,9856432200,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,37,107.22,61.26,153.18,5269,0.44,0.13,0.75,1192,3.67,0.61,6.73,166,0.61,0.00,2.45,5536,2.79,1.50,4.08,Not Available,Not Available,Not Available,Not Available
330164,HIGHLAND HOSPITAL,1000 SOUTH AVENUE,,,ROCHESTER,NY,14620,MONROE,5854732200,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,140,164.44,127.69,201.19,10194,0.32,0.03,0.61,3482,3.98,2.04,5.92,447,1.10,0.00,2.73,10396,2.51,1.59,3.43,Not Available,Not Available,Not Available,Not Available
171321,MEADE DISTRICT HOSPITAL,510 E CARTHAGE,,,MEADE,KS,67864,MEADE,6208732141,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
161352,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,,,CLARINDA,IA,51632,PAGE,7125422176,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
361329,WYANDOT MEMORIAL HOSPITAL,885 NORTH SANDUSKY AVENUE,,,UPPER SANDUSKY,OH,43351,WYANDOT,4192944991,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
181327,MARSHALL COUNTY HOSPITAL,615 OLD SYMSONIA ROAD,,,BENTON,KY,42025,MARSHALL,2705274800,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
450795,ST ANTHONY'S HOSPITAL,2807 LITTLE YORK RD,,,HOUSTON,TX,77093,HARRIS,7136972961,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,5,Not Available,Not Available,Not Available,860,0.31,0.00,0.72,208,3.96,0.00,8.70,35,0.86,0.00,3.07,956,2.16,0.16,4.16,Not Available,Not Available,Not Available,Not Available
260162,BARNES-JEWISH WEST COUNTY HOSPITAL,12634 OLIVE BOULEVARD,,,CREVE COEUR,MO,63141,SAINT LOUIS,3149968000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,41,95.14,45.94,144.34,2701,0.37,0.00,0.76,1376,5.36,2.40,8.32,264,1.15,0.00,2.82,2761,2.59,1.32,3.86,Not Available,Not Available,Not Available,Not Available
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,,,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,Better than U.S. National Rate,,71,89.65,47.43,131.87,10010,0.15,0.00,0.44,2346,3.06,1.04,5.08,227,0.48,0.00,2.13,10216,0.55,0.00,1.65,Not Available,Not Available,Not Available,Not Available
261309,WRIGHT MEMORIAL HOSPITAL,191 IOWA BOULEVARD,,,TRENTON,MO,64683,GRUNDY,6603595621,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
230055,DICKINSON COUNTY MEMORIAL HOSPITAL,1721 S STEPHENSON AVE,,,IRON MOUNTAIN,MI,49801,DICKINSON,9067741313,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,25,99.13,48.99,149.27,2848,0.37,0.00,0.76,493,4.37,0.45,8.29,88,2.69,0.67,4.71,2914,1.60,0.00,3.31,Not Available,Not Available,Not Available,Not Available
451313,FISHER COUNTY HOSPITAL DISTRICT,774 STATE HIGHWAY 70 N,,,ROTAN,TX,79546,FISHER,3257352256,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
281348,TRI VALLEY HEALTH SYSTEM,1305 WEST HIGHWAY 6/34,,,CAMBRIDGE,NE,69022,FURNAS,3086973329,Not Available,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Applicable,No data are available from the hospital for this measure.,Not Available,No data are available from the hospital for this measure.,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available
440197,TRISTAR SOUTHERN HILLS MEDICAL CENTER,391 WALLACE RD,,,NASHVILLE,TN,37211,DAVIDSON,6157814000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,38,124.18,76.94,171.42,2493,0.43,0.06,0.80,598,7.37,3.57,11.17,85,0.73,0.00,2.77,2492,2.10,0.41,3.79,Not Available,Not Available,Not Available,Not Available
310075,MONMOUTH MEDICAL CENTER,300 SECOND AVENUE,,,LONG BRANCH,NJ,07740,MONMOUTH,7322225200,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Worse than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,73,107.99,67.26,148.72,9083,0.21,0.00,0.50,1867,7.63,5.14,10.12,313,0.48,0.00,2.13,9361,1.25,0.23,2.27,Not Available,Not Available,Not Available,Not Available
390267,FORBES REGIONAL HOSPITAL,2570 HAYMAKER RD,,,MONROEVILLE,PA,15146,ALLEGHENY,4128582000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,91,90.38,51.22,129.54,11192,0.38,0.13,0.63,2340,5.85,3.50,8.20,244,0.47,0.00,2.10,11801,1.86,0.84,2.88,Not Available,Not Available,Not Available,Not Available
380001,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,,,THE DALLES,OR,97015,WASCO,5412961111,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,9,Not Available,Not Available,Not Available,1436,0.28,0.00,0.67,387,3.67,0.00,7.67,79,0.68,0.00,2.64,1521,2.82,1.08,4.56,Not Available,Not Available,Not Available,Not Available
050289,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,,,DALY CITY,CA,94015,SAN MATEO,6509924000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,75,120.96,79.90,162.02,7304,0.25,0.00,0.54,2003,7.18,4.71,9.65,203,0.59,0.00,2.41,7687,2.99,1.85,4.13,Not Available,Not Available,Not Available,Not Available
270012,BENEFIS HOSPITALS INC,1101 26TH ST S,,,GREAT FALLS,MT,59405,CASCADE,4064555000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Better than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,140,103.57,69.52,137.62,7914,0.55,0.28,0.82,3010,2.48,0.48,4.48,437,0.35,0.00,1.76,8338,2.91,1.99,3.83,Not Available,Not Available,Not Available,Not Available
340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN ST,,,ALBEMARLE,NC,28001,STANLY,7049844000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,35,102.11,56.07,148.15,4000,0.23,0.00,0.58,684,3.11,0.15,6.07,126,0.59,0.00,2.41,4111,1.36,0.00,2.81,Not Available,Not Available,Not Available,Not Available
450369,CHILDRESS REGIONAL MEDICAL CENTER,HWY 83 NORTH,,,CHILDRESS,TX,79201,CHILDRESS,9409376371,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,Number of Cases Too Small*,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,3,Not Available,Not Available,Not Available,924,0.33,0.00,0.76,88,5.47,0.59,10.35,9,Not Applicable,Not Applicable,Not Applicable,947,1.74,0.00,3.95,Not Available,Not Available,Not Available,Not Available
390041,UNIONTOWN HOSPITAL,500 WEST BERKELEY STREET,,,UNIONTOWN,PA,15401,FAYETTE,7244305000,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,35,122.76,76.07,169.45,5549,0.47,0.14,0.80,1053,1.95,0.00,5.28,147,0.63,0.00,2.51,5687,1.94,0.57,3.31,Not Available,Not Available,Not Available,Not Available
490127,BUCHANAN GENERAL HOSPITAL,1535 SLATE CREEK ROAD,,,GRUNDY,VA,24614,BUCHANAN,2769351000,Number of Cases Too Small,Medicare requires hospitals to have at least 25 qualifying cases to have their results reported. This hospital had less than 25 cases.,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,4,Not Available,Not Available,Not Available,1709,0.30,0.00,0.71,86,5.51,0.61,10.41,58,0.76,0.00,2.84,1777,1.73,0.00,3.69,Not Available,Not Available,Not Available,Not Available
180104,WESTERN BAPTIST HOSPITAL,2501 KENTUCKY AVENUE,,,PADUCAH,KY,42003,MCCRACKEN,2705752100,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,No Different than U.S. National Rate,,148,131.67,95.88,167.46,14476,0.38,0.13,0.63,3780,3.73,1.93,5.53,360,0.40,0.00,1.89,14840,2.12,1.26,2.98,Not Available,Not Available,Not Available,Not Available
